;variable;group1;group2;n1;n2;statistic;p;p.adj;p.adj.signif
271;morans_I_p;6;13;233;203;11.289;0.000;0.000;****
272;morans_I_p;6;26;233;413;-6.807;0.000;0.000;****
273;morans_I_p;13;26;203;413;-19.151;0.000;0.000;****
274;occ_Ncells;5;6;204;238;5.383;0.000;0.000;****
275;occ_Ncells;5;13;204;211;-4.686;0.000;0.000;****
276;occ_Ncells;5;26;204;420;4.806;0.000;0.000;****
277;occ_Ncells;6;13;238;211;-10.298;0.000;0.000;****
278;occ_Ncells;6;26;238;420;-1.275;0.202;0.202;ns
279;occ_Ncells;13;26;211;420;10.314;0.000;0.000;****
280;pd;5;6;202;235;-1.258;0.208;0.288;ns
281;pd;5;13;202;208;0.541;0.588;0.588;ns
282;pd;5;26;202;417;1.786;0.074;0.148;ns
283;pd;6;13;235;208;1.830;0.067;0.148;ns
284;pd;6;26;235;417;3.357;0.001;0.005;**
285;pd;13;26;208;417;1.174;0.240;0.288;ns
286;presence_n;5;6;203;233;5.310;0.000;0.000;****
287;presence_n;5;13;203;209;-4.572;0.000;0.000;****
288;presence_n;5;26;203;413;4.790;0.000;0.000;****
289;presence_n;6;13;233;209;-10.081;0.000;0.000;****
290;presence_n;6;26;233;413;-1.212;0.226;0.226;ns
291;presence_n;13;26;209;413;10.144;0.000;0.000;****
292;range_centr_lat;5;6;203;233;7.893;0.000;0.000;****
293;range_centr_lat;5;13;203;209;14.361;0.000;0.000;****
294;range_centr_lat;5;26;203;413;28.470;0.000;0.000;****
295;range_centr_lat;6;13;233;209;6.899;0.000;0.000;****
296;range_centr_lat;6;26;233;413;20.535;0.000;0.000;****
297;range_centr_lat;13;26;209;413;12.077;0.000;0.000;****
298;range_centr_long;5;6;203;233;7.587;0.000;0.000;****
299;range_centr_long;5;13;203;209;14.424;0.000;0.000;****
300;range_centr_long;5;26;203;413;28.627;0.000;0.000;****
301;range_centr_long;6;13;233;209;7.274;0.000;0.000;****
302;range_centr_long;6;26;233;413;21.058;0.000;0.000;****
303;range_centr_long;13;26;209;413;12.161;0.000;0.000;****
304;ratio_R2_1;5;6;204;238;-1.460;0.144;0.173;ns
305;ratio_R2_1;5;13;204;211;3.029;0.002;0.007;**
306;ratio_R2_1;5;26;204;420;0.932;0.351;0.351;ns
307;ratio_R2_1;6;13;238;211;4.618;0.000;0.000;****
308;ratio_R2_1;6;26;238;420;2.697;0.007;0.014;*
309;ratio_R2_1;13;26;211;420;-2.582;0.010;0.015;*
310;rel_AOO;5;6;204;238;-7.488;0.000;0.000;****
311;rel_AOO;5;13;204;211;-9.890;0.000;0.000;****
312;rel_AOO;5;26;204;420;-6.508;0.000;0.000;****
313;rel_AOO;6;13;238;211;-2.714;0.007;0.008;**
314;rel_AOO;6;26;238;420;1.960;0.050;0.050;*
315;rel_AOO;13;26;211;420;4.926;0.000;0.000;****
316;rel_circNorm;5;6;203;233;4.044;0.000;0.000;****
317;rel_circNorm;5;13;203;209;-11.806;0.000;0.000;****
318;rel_circNorm;5;26;203;413;-15.494;0.000;0.000;****
319;rel_circNorm;6;13;233;209;-16.286;0.000;0.000;****
320;rel_circNorm;6;26;233;413;-20.948;0.000;0.000;****
321;rel_circNorm;13;26;209;413;-1.941;0.052;0.052;ns
322;rel_elonRatio;5;6;203;233;-1.719;0.086;0.086;ns
323;rel_elonRatio;5;13;203;209;3.246;0.001;0.001;**
324;rel_elonRatio;5;26;203;413;-15.161;0.000;0.000;****
325;rel_elonRatio;6;13;233;209;5.089;0.000;0.000;****
326;rel_elonRatio;6;26;233;413;-13.847;0.000;0.000;****
327;rel_elonRatio;13;26;209;413;-19.077;0.000;0.000;****
328;rel_ewDist;5;6;203;233;-3.049;0.002;0.003;**
329;rel_ewDist;5;13;203;209;-13.917;0.000;0.000;****
330;rel_ewDist;5;26;203;413;-17.861;0.000;0.000;****
331;rel_ewDist;6;13;233;209;-11.323;0.000;0.000;****
332;rel_ewDist;6;26;233;413;-15.114;0.000;0.000;****
333;rel_ewDist;13;26;209;413;-1.880;0.060;0.060;ns
334;rel_lin;5;6;203;233;1.073;0.283;0.283;ns
335;rel_lin;5;13;203;209;8.453;0.000;0.000;****
336;rel_lin;5;26;203;413;-9.208;0.000;0.000;****
337;rel_lin;6;13;233;209;7.662;0.000;0.000;****
338;rel_lin;6;26;233;413;-10.891;0.000;0.000;****
339;rel_lin;13;26;209;413;-19.111;0.000;0.000;****
340;rel_maxDist;5;6;203;233;-2.528;0.011;0.014;*
341;rel_maxDist;5;13;203;209;-13.423;0.000;0.000;****
342;rel_maxDist;5;26;203;413;-16.869;0.000;0.000;****
343;rel_maxDist;6;13;233;209;-11.336;0.000;0.000;****
344;rel_maxDist;6;26;233;413;-14.686;0.000;0.000;****
345;rel_maxDist;13;26;209;413;-1.452;0.147;0.147;ns
346;rel_nsDist;5;6;203;233;-1.895;0.058;0.070;ns
347;rel_nsDist;5;13;203;209;-13.126;0.000;0.000;****
348;rel_nsDist;5;26;203;413;-16.410;0.000;0.000;****
349;rel_nsDist;6;13;233;209;-11.667;0.000;0.000;****
350;rel_nsDist;6;26;233;413;-14.947;0.000;0.000;****
351;rel_nsDist;13;26;209;413;-1.333;0.182;0.182;ns
352;rel_occ_Ncells;5;6;204;238;-7.473;0.000;0.000;****
353;rel_occ_Ncells;5;13;204;211;-10.170;0.000;0.000;****
354;rel_occ_Ncells;5;26;204;420;-6.803;0.000;0.000;****
355;rel_occ_Ncells;6;13;238;211;-3.021;0.003;0.003;**
356;rel_occ_Ncells;6;26;238;420;1.632;0.103;0.103;ns
357;rel_occ_Ncells;13;26;211;420;4.954;0.000;0.000;****
358;southerness;5;6;203;233;-5.752;0.000;0.000;****
359;southerness;5;13;203;209;-11.623;0.000;0.000;****
360;southerness;5;26;203;413;3.166;0.002;0.002;**
361;southerness;6;13;233;209;-6.226;0.000;0.000;****
362;southerness;6;26;233;413;10.052;0.000;0.000;****
363;southerness;13;26;209;413;16.690;0.000;0.000;****
364;westernnes;5;6;203;233;-10.394;0.000;0.000;****
365;westernnes;5;13;203;209;6.680;0.000;0.000;****
366;westernnes;5;26;203;413;-8.112;0.000;0.000;****
367;westernnes;6;13;233;209;17.384;0.000;0.000;****
368;westernnes;6;26;233;413;3.694;0.000;0.000;***
369;westernnes;13;26;209;413;-15.945;0.000;0.000;****
